Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.05.28,01,,0.007,,0.09,0.004,,0.002
2021.05.28,07,0.18,,1.1,,0.001,0.061,0.005
2021.05.28,13,,,,,,,
2021.05.28,19,,,,,,,
2021.05.27,01,,0.010,,0.12,0.000,,0.005
2021.05.27,07,0.18,,1.7,,0.001,0.055,0.006
2021.05.27,13,,0.012,,0.20,0.002,,0.011
2021.05.27,19,0.18,,2.3,,0.001,0.094,0.009
2021.05.26,01,,0.006,,0.10,0.000,,0.004
2021.05.26,07,0.18,,1.34,,0.001,0.047,0.006
2021.05.26,13,,0.023,,0.18,0.001,,0.012
2021.05.26,19,0.18,,2.7,,0.001,0.102,0.010
2021.05.25,01,,0.006,,0.13,0.000,,0.003
2021.05.25,07,0.18,,2.0,,0.001,0.048,0.005
2021.05.25,13,,0.021,,0.19,0.002,,0.013
2021.05.25,19,0.18,,2.5,,0.001,0.083,0.011
2021.05.24,01,,0.010,,0.09,0.000,,0.002
2021.05.24,07,0.11,,1.3,,0.001,0.041,0.006
2021.05.24,13,,0.021,,0.15,0.001,,0.010
2021.05.24,19,0.18,,2.5,,0.001,0.093,0.008
