Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
01.11.2021,1,,0.014,,,0.002
01.11.2021,7,0.07,,1.1,0.06,0.004
01.11.2021,13,,0.018,,,0.010
01.11.2021,19,0.07,,1.5,0.20,0.008
02.11.2021,1,,0.019,,,0.001
02.11.2021,7,0.07,,0.9,0.07,0.003
02.11.2021,13,,0.024,,,0.007
02.11.2021,19,0.07,,1.5,0.21,0.002
03.11.2021,1,,0.016,,,0.002
03.11.2021,7,0.07,,0.8,0.06,0.005
03.11.2021,13,,0.027,,,0.009
03.11.2021,19,0.07,,1.7,0.20,0.006
04.11.2021,1,,0.017,,,0.001
04.11.2021,7,0.07,,1.2,0.06,0.004
