Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.01.20,01,,0.012,,0.08,0.000,,0.002
2022.01.20,07,0.17,,0.8,,0.001,0.040,0.006
2022.01.20,13,,,,,,,
2022.01.20,19,,,,,,,
2022.01.19,01,,0.014,,0.07,0.000,,0.003
2022.01.19,07,0.09,,0.9,,0.001,0.036,0.005
2022.01.19,13,,0.026,,0.21,0.001,,0.011
2022.01.19,19,0.13,,1.7,,0.001,0.105,0.008
2022.01.18,01,,0.014,,0.07,0.000,,0.002
2022.01.18,07,0.07,,1.0,,0.001,0.029,0.006
2022.01.18,13,,0.028,,0.18,0.001,,0.009
2022.01.18,19,0.17,,1.3,,0.001,0.102,0.009
2022.01.17,01,,0.014,,0.08,0.000,,0.003
2022.01.17,07,0.10,,1.3,,0.001,0.038,0.006
2022.01.17,13,,0.027,,0.23,0.001,,0.009
2022.01.17,19,0.17,,1.8,,0.001,0.091,0.008
2022.01.15,01,,0.014,,0.08,0.000,,0.002
2022.01.15,07,0.17,,1.7,,0.001,0.034,0.006
2022.01.15,13,,0.028,,0.21,0.001,,0.009
2022.01.15,19,0.17,,1.0,,0.001,0.096,0.007
2022.01.14,01,,0.012,,0.07,0.000,,0.003
2022.01.14,07,0.14,,1.4,,0.001,0.043,0.005
2022.01.14,13,,0.028,,0.18,0.001,,0.010
2022.01.14,19,0.17,,1.8,,0.001,0.109,0.009
