Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
17.10.2020,1,,0.048,,0.00,0.001
17.10.2020,7,0.07,0.000,0.3,0.01,0.002
17.10.2020,13,,0.008,,0.01,0.003
17.10.2020,19,0.07,0.011,0.3,0.02,0.016
19.10.2020,1,,0.003,,0.01,0.000
19.10.2020,7,0.07,0.008,0.2,0.02,0.001
19.10.2020,13,,0.014,,0.02,0.002
19.10.2020,19,0.07,0.022,0.5,0.02,0.002
20.10.2020,1,,0.008,,0.01,0.000
20.10.2020,7,0.10,0.011,0.2,0.02,0.001
20.10.2020,13,,0.017,,0.02,0.003
20.10.2020,19,0.07,0.023,0.4,0.03,0.002
21.10.2020,1,,0.006,,0.01,0.001
21.10.2020,7,0.07,0.009,0.2,0.01,0.002
21.10.2020,13,,0.019,,0.02,0.003
21.10.2020,19,0.07,0.027,0.5,0.04,0.002
22.10.2020,1,,0.009,,0.01,0.000
22.10.2020,7,0.07,0.014,0.3,0.01,0.001
22.10.2020,13,,0.016,,0.02,0.005
22.10.2020,19,0.07,0.023,0.6,0.03,0.003
23.10.2020,1,,0.006,,0.01,0.002
23.10.2020,7,0.07,0.011,0.4,0.02,0.004
