Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.08.09,01,,0.003,,0.08,0.05,0.000,,0.004
2021.08.09,07,0.11,0.013,2.5,0.11,0.06,0.001,0.01,0.007
2021.08.09,13,,,,,,,,
2021.08.09,19,,,,,,,,
2021.08.07,01,,0.005,,0.08,0.04,0.000,,0.003
2021.08.07,07,0.07,0.015,1.8,0.09,0.05,0.001,0.00,0.006
2021.08.07,13,,0.018,,0.13,0.08,0.002,,0.014
2021.08.07,19,0.07,0.017,2.5,0.18,0.11,0.001,0.01,0.012
2021.08.06,01,,0.005,,0.07,0.04,0.000,,0.004
2021.08.06,07,0.07,0.015,1.7,0.09,0.06,0.001,0.00,0.007
2021.08.06,13,,0.020,,0.17,0.11,0.002,,0.015
2021.08.06,19,0.11,0.022,4.4,0.21,0.13,0.001,0.01,0.013
2021.08.05,01,,0.005,,0.08,0.05,0.001,,0.003
2021.08.05,07,0.07,0.015,2.5,0.10,0.06,0.001,0.00,0.005
2021.08.05,13,,0.018,,0.16,0.10,0.002,,0.009
2021.08.05,19,0.11,0.017,2.8,0.22,0.14,0.002,0.01,0.015
2021.08.04,01,,0.005,,0.08,0.05,0.000,,0.004
2021.08.04,07,0.11,0.015,2.4,0.10,0.06,0.001,0.00,0.006
2021.08.04,13,,0.020,,0.15,0.10,0.002,,0.007
2021.08.04,19,0.11,0.018,4.3,0.20,0.13,0.001,0.01,0.013
2021.08.03,01,,0.005,,0.10,0.06,0.000,,0.007
2021.08.03,07,0.11,0.017,2.0,0.12,0.08,0.001,0.00,0.008
2021.08.03,13,,0.020,,0.17,0.11,0.002,,0.015
2021.08.03,19,0.11,0.020,3.8,0.25,0.16,0.002,0.01,0.012
