Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.07.01,01,,0.010,,0.11,0.07,0.001,,0.004
2021.07.01,07,0.11,0.018,2.6,0.12,0.08,0.002,0.01,0.007
2021.07.01,13,,,,,,,,
2021.07.01,19,,,,,,,,
2021.06.30,01,,0.007,,0.10,0.06,0.000,,0.003
2021.06.30,07,0.07,0.016,1.4,0.12,0.07,0.001,0.00,0.006
2021.06.30,13,,0.020,,0.16,0.10,0.003,,0.014
2021.06.30,19,0.08,0.022,4.1,0.25,0.16,0.002,0.01,0.013
2021.06.29,01,,0.008,,0.11,0.07,0.000,,0.003
2021.06.29,07,0.07,0.021,1.7,0.33,0.21,0.001,0.00,0.007
2021.06.29,13,,0.020,,0.40,0.26,0.002,,0.012
2021.06.29,19,0.11,0.023,2.8,0.51,0.33,0.002,0.01,0.011
2021.06.26,01,,0.007,,0.23,0.14,0.000,,0.005
2021.06.26,07,0.07,0.017,2.0,0.25,0.16,0.002,0.01,0.008
2021.06.26,13,,0.018,,0.43,0.27,0.003,,0.013
2021.06.26,19,0.11,0.017,1.2,0.47,0.30,0.002,0.01,0.012
2021.06.25,01,,0.010,,0.31,0.19,0.001,,0.003
2021.06.25,07,0.07,0.020,3.1,0.43,0.28,0.002,0.01,0.007
2021.06.25,13,,0.024,,0.51,0.33,0.003,,0.015
2021.06.25,19,0.19,0.026,3.9,0.65,0.41,0.003,0.02,0.012
