Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
09.06.2022,1,,0.012,,,0.001
09.06.2022,7,0.07,,1.4,0.06,0.003
09.06.2022,13,,0.024,,,0.012
09.06.2022,19,0.08,,1.8,0.15,0.014
10.06.2022,1,,0.015,,,0.002
10.06.2022,7,0.07,,1.5,0.11,0.005
10.06.2022,13,,0.022,,,0.011
10.06.2022,19,0.08,,1.8,0.20,0.013
11.06.2022,1,,0.012,,,0.002
11.06.2022,7,0.07,,1.4,0.08,0.006
11.06.2022,13,,0.020,,,0.010
11.06.2022,19,0.08,,1.7,0.17,0.011
13.06.2022,1,,0.015,,,0.003
13.06.2022,7,0.07,,1.9,0.09,0.005
