Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
14.02.2022,1,,0.003,,0.00,0.001
14.02.2022,7,0.07,0.002,0.2,0.01,0.003
14.02.2022,13,,0.000,,0.02,0.005
14.02.2022,19,0.07,0.014,0.5,0.01,0.004
15.02.2022,1,,0.003,,0.00,0.000
15.02.2022,7,0.07,0.006,0.3,0.01,0.002
15.02.2022,13,,0.009,,0.01,0.004
15.02.2022,19,0.07,0.012,0.6,0.02,0.003
16.02.2022,1,,0.002,,0.00,0.000
16.02.2022,7,0.07,0.003,0.4,0.01,0.002
16.02.2022,13,,0.008,,0.02,0.005
16.02.2022,19,0.07,0.011,0.4,0.01,0.002
17.02.2022,1,,0.000,,0.01,0.001
17.02.2022,7,0.07,0.005,0.2,0.01,0.003
