Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
31.01.2022,1,,0.011,,,0.002
31.01.2022,7,0.7,,0.6,0.05,0.003
31.01.2022,13,,0.026,,,0.008
31.01.2022,19,0.07,,1.1,0.16,0.005
01.02.2022,1,,0.011,,,0.002
01.02.2022,7,0.07,,0.4,0.07,0.004
01.02.2022,13,,0.024,,,0.009
01.02.2022,19,0.07,,0.7,0.18,0.008
02.02.2022,1,,0.011,,,0.002
02.02.2022,7,0.07,,0.7,0.08,0.005
02.02.2022,13,,0.023,,,0.009
02.02.2022,19,0.07,,1.2,0.19,0.007
03.02.2022,1,,0.011,,,0.001
03.02.2022,7,0.07,,0.9,0.06,0.003
