Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
17.10.2020,1,,0.035,,,0.001
17.10.2020,7,0.07,,0.4,0.08,0.002
17.10.2020,13,,0.082,,,0.004
17.10.2020,19,0.07,,0.5,0.13,0.000
19.10.2020,1,,0.027,,,0.001
19.10.2020,7,0.07,,0.5,0.04,0.002
19.10.2020,13,,0.102,,,0.004
19.10.2020,19,0.07,,0.7,0.08,0.003
20.10.2020,1,,0.035,,,0.000
20.10.2020,7,0.07,,0.4,0.03,0.001
20.10.2020,13,0.113,,,,0.003
20.10.2020,19,0.07,,0.09,0.06,0.002
21.10.2020,1,,0.040,,,0.001
21.10.2020,7,0.07,,0.8,0.06,0.002
21.10.2020,13,,0.126,,,0.005
21.10.2020,19,0.07,,1.4,0.09,0.003
22.10.2020,1,,0.048,,,0.002
22.10.2020,7,0.07,,0.7,0.06,0.004
