Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.07.26,01,,0.005,,0.05,0.03,0.001,,0.004
2022.07.26,07,0.07,0.010,0.5,0.07,0.03,0.001,0.01,0.007
2022.07.26,13,,,,,,,,
2022.07.26,19,,,,,,,,
2022.07.25,01,,0.005,,0.04,0.03,0.000,,0.002
2022.07.25,07,0.07,0.010,0.3,0.05,0.03,0.000,0.01,0.005
2022.07.25,13,,0.015,,0.11,0.07,0.001,,0.016
2022.07.25,19,0.11,0.012,0.5,0.14,0.08,0.001,0.02,0.011
2022.07.23,01,,0.003,,0.05,0.03,0.000,,0.003
2022.07.23,07,0.07,0.008,0.4,0.07,0.04,0.001,0.01,0.007
2022.07.23,13,,0.013,,0.10,0.06,0.001,,0.013
2022.07.23,19,0.11,0.010,0.4,0.12,0.07,0.001,0.01,0.009
2022.07.22,01,,0.005,,0.04,0.03,0.000,,0.001
2022.07.22,07,0.07,0.010,0.3,0.06,0.03,0.001,0.01,0.006
2022.07.22,13,,0.013,,0.11,0.06,0.001,,0.004
2022.07.22,19,0.11,0.010,0.6,0.13,0.08,0.0001,0.02,0.015
2022.07.21,01,,0.005,,0.05,0.03,0.001,,0.005
2022.07.21,07,0.07,0.014,0.2,0.07,0.04,0.001,0.01,0.007
2022.07.21,13,,0.013,,0.10,0.06,0.001,,0.012
2022.07.21,19,0.08,0.012,0.6,0.13,0.08,0.001,0.01,0.014
2022.07.20,01,,0.003,,0.05,0.03,0.000,,0.003
2022.07.20,07,0.07,0.008,0.5,0.07,0.04,0.001,0.01,0.007
2022.07.20,13,,0.013,,0.09,0.05,0.001,,0.011
2022.07.20,19,0.07,0.012,0.3,0.12,0.08,0.001,0.01,0.013
