Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
15.11.2021,1,,0.017,,,0.001
15.11.2021,7,0.07,,1.1,0.07,0.003
15.11.2021,13,,0.020,,,0.010
15.11.2021,19,0.07,,1.6,0.14,0.008
16.11.2021,1,,0.008,,,0.002
16.11.2021,7,0.07,,1.5,0.06,0.004
16.11.2021,13,,0.002,,,0.008
16.11.2021,19,0.07,,2.0,0.16,0.006
17.11.2021,1,,0.009,,,0.001
17.11.2021,7,0.07,,0.9,0.04,0.002
17.11.2021,13,,0.017,,,0.006
17.11.2021,19,0.07,,1.1,0.19,0.003
18.11.2021,1,,0.008,,,0.002
18.11.2021,7,0.06,,0.9,0.07,0.005
