Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
01.08.2022,1,,0.003,,,0.002
01.08.2022,7,0.07,,0.5,0.06,0.007
01.08.2022,13,,0.010,,,0.014
01.08.2022,19,0.07,,2.4,0.12,0.009
02.08.2022,1,,0.003,,,0.003
02.08.2022,7,0.07,,1.5,0.07,0.005
02.08.2022,13,,0.013,,,0.010
02.08.2022,19,0.07,,1.3,0.10,0.013
03.08.2022,1,,0.005,,,0.002
03.08.2022,7,0.07,,1.6,0.04,0.004
03.08.2022,13,,0.015,,,0.013
03.08.2022,19,0.07,,1.6,0.09,0.009
04.08.2022,1,,0.005,,,0.001
04.08.2022,7,0.07,,1.3,0.07,0.003
