Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
21.10.2021,1,,0.006,,,0.002
21.10.2021,7,0.07,,1.2,0.06,0.006
21.10.2021,13,,0.034,,,0.011
21.102021,19,0.07,,1.5,0.13,0.007
22.10.2021,1,,0.026,,,0.002
22.102021,7,0.07,,0.9,0.10,0.003
22.10.2021,13,,0.063,,,0.010
22.10.2021,19,0.07,,1.4,0.14,0.006
23.10.2021,1,,0.030,,,0.001
23.10.2021,7,0.07,,1.0,0.12,0.002
23.10.2021,13,,0.046,,,0.006
23.10.2021,19,0.11,,1.1,0.26,0.004
25.10.2021,1,,0.034,,,0.002
25.10.2021,7,0.07,,1.0,0.13,0.005
