Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
17.01.2022,1,,0.011,,,0.001
17.01.2022,7,0.07,,0.6,0.07,0.004
17.01.2022,13,,0.022,,,0.007
17.01.2022,19,0.07,,0.5,0.12,0.005
18.01.2022,1,,0.010,,,0.002
18.01.2022,7,0.07,,0.5,0.03,0.003
18.01.2022,13,,0.025,,,0.009
18.01.2022,19,0.07,,0.7,0.14,0.006
19.01.2022,1,,0.009,,,0.002
19.01.2022,7,0.07,,0.6,0.08,0.005
19.01.2022,13,,0.025,,,0.009
19.01.2022,19,0.07,,0.9,0.18,0.006
20.01.2022,1,,0.009,,,0.001
20.01.2022,7,0.07,,0.4,0.07,0.004
