Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.05.12,01,,0.021,,0.08,0.001,,0.003
2022.05.12,07,0.11,,1.4,,0.001,0.056,0.006
2022.05.12,13,,,,,,,
2022.05.12,19,,,,,,,
2022.05.11,01,,0.019,,0.09,0.000,,0.002
2022.05.11,07,0.10,,1.3,,0.001,0.034,0.005
2022.05.11,13,,0.034,,0.25,0.002,,0.012
2022.05.11,19,0.15,,1.9,,0.001,0.111,0.010
2022.05.10,01,,0.020,,0.10,0.000,,0.003
2022.05.10,07,0.14,,0.7,,0.001,0.040,0.006
2022.05.10,13,,0.034,,0.22,0.001,,0.010
2022.05.10,19,0.18,,1.8,,0.001,0.106,0.009
2022.05.09,01,,0.021,,0.09,0.000,,0.003
2022.05.09,07,0.07,,0.7,,0.001,0.059,0.006
2022.05.09,13,,0.038,,0.25,0.001,,0.011
2022.05.09,19,0.18,,1.0,,0.001,0.128,0.008
2022.05.07,01,,0.024,,0.10,0.001,,0.002
2022.05.07,07,0.14,,0.6,,0.001,0.048,0.005
2022.05.07,13,,0.037,,0.21,0.001,,0.010
2022.05.07,19,0.07,,1.1,,0.001,0.104,0.007
2022.05.06,01,,0.022,,0.11,0.001,,0.002
2022.05.06,07,0.07,,0.8,,0.001,0.051,0.003
2022.05.06,13,,0.040,,0.26,0.002,,0.011
2022.05.06,19,0.18,,1.7,,0.001,0.121,0.008
