Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.07.15,01,,0.007,,0.09,0.000,,0.005
2021.07.15,07,0.18,,3.2,,0.001,0.069,0.008
2021.07.15,13,,,,,,,
2021.07.15,19,,,,,,,
2021.07.14,01,,0.005,,0.07,0.000,,0.004
2021.07.14,07,0.18,,3.0,,0.001,0.075,0.006
2021.07.14,13,,0.022,,0.22,0.002,,0.015
2021.07.14,19,0.19,,4.4,,0.002,0.142,0.013
2021.07.13,01,,0.007,,0.08,0.000,,0.003
2021.07.13,07,0.18,,2.8,,0.001,0.070,0.007
2021.07.13,13,,0.020,,0.25,0.002,,0.012
2021.07.13,19,0.19,,4.2,,0.001,0.145,0.014
2021.07.12,01,,0.007,,0.11,0.000,,0.004
2021.07.12,07,0.18,,1.8,,0.001,0.059,0.006
2021.07.12,13,,0.024,,0.26,0.002,,0.011
2021.07.12,19,0.15,,3.7,,0.001,0.138,0.013
2021.07.10,01,,0.003,,0.10,0.000,,0.003
2021.07.10,07,0.18,,1.7,,0.001,0.064,0.005
2021.07.10,13,,0.017,,0.23,0.002,,0.011
2021.07.10,19,0.19,,2.0,,0.002,0.135,0.008
2021.07.09,01,,0.007,,0.8,0.000,,0.003
2021.07.09,07,0.18,,3.1,,0.001,0.073,0.006
2021.07.09,13,,0.023,,0.2,0.002,,0.013
2021.07.09,19,0.19,,4.1,,0.002,0.142,0.012
