Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
14.06.2021,1,,0.007,,,0.001
14.06.2021,7,0.07,,1.03,0.11,0.005
14.06.2021,13,,0.018,,,0.010
14.06.2021,19,0.07,,1.5,0.15,0.008
15.06.2021,1,,0.005,,,0.003
15.06.2021,7,0.07,,0.9,0.09,0.004
15.06.2021,13,,0.018,,,0.011
15.06.2021,19,0.07,,1.6,0.13,0.009
16.06.2021,1,,0.007,,,0.003
16.06.2021,7,0.07,,0.9,0.07,0.005
16.06.2021,13,,0.017,,,0.010
16.06.2021,19,0.07,,1.0,0.11,0.008
17.06.2021,1,,0.007,,,0.002
17.06.2021,7,0.07,,0.7,0.06,0.003
