Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.08.19,01,,0.010,,0.06,0.000,,0.003
2022.08.19,07,0.15,,1.9,,0.001,0.051,0.006
2022.08.19,13,,,,,,,
2022.08.19,19,,,,,,,
2022.08.18,01,,0.008,,0.05,0.000,,0.005
2022.08.18,07,0.11,,1.7,,0.001,0.057,0.008
2022.08.18,13,,0.013,,0.14,0.001,,0.011
2022.08.18,19,0.19,,2.1,,0.001,0.136,0.013
2022.08.17,01,,0.005,,0.05,0.000,,0.004
2022.08.17,07,0.15,,1.6,,0.001,0.062,0.006
2022.08.17,13,,0.008,,0.11,0.001,,0.017
2022.08.17,19,0.19,,2.1,,0.001,0.108,0.014
2022.08.16,01,,0.008,,0.07,0.000,,0.003
2022.08.16,07,0.11,,1.5,,0.001,0.069,0.005
2022.08.16,13,,0.012,,0.13,0.001,,0.012
2022.08.16,19,0.18,,1.9,,0.001,0.138,0.009
2022.08.15,01,,0.005,,0.10,0.000,,0.004
2022.08.15,07,0.07,,1.9,,0.001,0.044,0.006
2022.08.15,13,,0.018,,0.17,0.001,,0.012
2022.08.15,19,0.19,,2.1,,0.001,0.124,0.016
2022.08.13,01,,0.003,,0.08,0.000,,0.003
2022.08.13,07,0.11,,1.3,,0.001,0.054,0.004
2022.08.13,13,,0.013,,0.13,0.001,,0.005
2022.08.13,19,0.11,,2.0,,0.001,0.107,0.011
