Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
13.07.2022,19,0.07,,0.7,0.11,0.002
14.07.2022,1,,0.003,,,0.001
14.07.2022,7,0.07,,0.6,0.05,0.002
14.07.2022,13,,0.013,,,0.007
14.07.2022,19,0.07,,0.7,0.09,0.008
15.07.2022,1,,0.003,,,0.003
15.07.2022,7,0.07,,0.5,0.06,0.004
15.07.2022,13,,0.012,,,0.009
15.07.2022,19,0.07,,0.7,0.11,0.008
16.07.2022,1,,0.003,,,0.002
16.07.2022,7,0.07,,0.4,0.07,0.006
16.07.2022,13,,0.013,,,0.008
16.07.2022,19,0.07,,0.6,0.11,0.011
18.07.2022,1,,0.003,,,0.003
18.07.2022,7,0.07,,0.6,0.06,0.009
