Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
15.07.2021,1,,0.005,,,0.002
15.07.2021,7,0.07,,1.4,0.08,0.004
15.07.2021,13,,0.017,,,0.011
15.07.2021,19,0.08,,2.6,0.14,0.009
16.07.2021,1,,0.003,,,0.003
16.07.2021,7,0.07,,2.0,0.07,0.005
16.07.2021,13,,0.017,,,0.012
16.07.2021,19,0.08,,2.9,0.17,0.010
17.07.2021,1,,0.003,,,0.002
17.07.2021,7,0.07,,1.1,0.08,0.004
17.07.2021,13,,0.015,,,0.010
17.07.2021,19,0.07,,1.3,0.12,0.014
19.07.2021,1,,0.003,,,0.003
19.07.2021,7,0.07,,1.5,0.08,0.006
