Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
10.12.2020,1,,0.061,,,0.002
10.12.2020,7,0.07,,0.6,0.04,0.003
10.12.2020,13,,0.124,,,0.005
10.12.2020,19,0.07,,0.7,0.12,0.002
11.12.2020,1,,0.052,,,0.002
11.12.2020,7,0.07,,0.7,0.08,0.004
11.12.2020,13,,0.149,,,0.002
11.12.2020,19,0.07,,0.8,0.12,0.003
12.12.2020,1,,0.040,,,0.001
12.12.2020,7,0.07,,0.5,0.06,0.003
12.12.2020,13,,0.171,,,0.006
12.12.2020,19,0.07,,1.0,0.08,0.005
14.12.2020,1,,0.051,,,0.002
14.12.2020,7,0.07,,0.7,0.05,0.005
