Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.06.02,01,,0.003,,0.07,0.05,0.000,,0.001
2021.06.02,07,-,0.011,0.9,0.10,0.06,0.001,0.00,0.002
2021.06.02,13,,,,,,,,
2021.06.02,19,,,,,,,,
2021.06.01,01,,0.009,,0.06,0.04,0.000,,0.002
2021.06.01,07,0.11,0.019,1.5,0.09,0.05,0.001,0.00,0.004
2021.06.01,13,,0.018,,0.15,0.09,0.001,,0.006
2021.06.01,19,-,0.016,1.2,0.18,0.12,0.001,0.01,0.003
2021.05.31,01,,0.010,,0.05,0.03,0.000,,0.002
2021.05.31,07,0.07,0.016,1.0,0.07,0.04,0.001,0.00,0.005
2021.05.31,13,,0.019,,0.15,0.10,0.001,,0.008
2021.05.31,19,0.11,0.022,2.2,0.18,0.12,0.001,0.01,0.006
2021.05.29,01,,0.005,,0.05,0.03,0.000,,0.002
2021.05.29,07,0.07,0.015,0.8,0.08,0.05,0.001,0.00,0.003
2021.05.29,13,,0.020,,0.01,0.07,0.001,,0.007
2021.05.29,19,0.07,0.015,1.3,0.15,0.09,0.001,0.01,0.004
2021.05.28,01,,0.003,,0.07,0.04,0.000,,0.001
2021.05.28,07,0.07,0.009,1.6,0.08,0.05,0.001,0.00,0.004
2021.05.28,13,,0.023,,0.13,0.08,0.001,,0.007
2021.05.28,19,0.07,0.019,2.3,0.17,0.10,0.001,0.01,0.003
2021.05.27,01,,0.006,,0.08,0.05,0.000,,0.003
2021.05.27,07,0.11,0.019,2.0,0.12,0.07,0.001,0.00,0.006
2021.05.27,13,,0.017,,0.11,0.07,0.001,,0.010
2021.05.27,19,0.07,0.013,3.0,0.18,0.12,0.001,0.01,0.007
