Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.02.21,01,,0.011,,0.05,0.03,0.000,,0.002
2022.02.21,07,0.07,0.017,1.0,0.07,0.05,0.001,0.01,0.006
2022.02.21,13,,,,,,,,
2022.02.21,19,,,,,,,,
2022.02.19,01,,0.012,,0.07,0.04,0.000,,0.003
2022.02.19,07,0.10,0.015,0.9,0.09,0.05,0.001,0.00,0.005
2022.02.19,13,,0.024,,0.09,0.05,0.001,,0.012
2022.02.19,19,0.07,0.025,1.0,0.11,0.07,0.001,0.01,0.009
2022.02.18,01,,0.011,,0.06,0.04,0.000,,0.002
2022.02.18,07,0.07,0.014,2.3,0.09,0.06,0.001,0.00,0.004
2022.02.18,13,,0.022,,0.15,0.09,0.001,,0.010
2022.02.18,19,0.07,0.024,3.3,0.16,0.10,0.001,0.02,0.009
2022.02.17,01,,0.012,,0.07,0..04,0.000,,0.004
2022.02.17,07,0.07,0.017,1.2,0.10,0.06,0.001,0.01,0.005
2022.02.17,13,,0.026,,0.17,0.08,0.001,,0.010
2022.02.17,19,0.07,0.021,2.3,0.21,0.13,0.001,0.01,0.006
2022.02.16,01,,0.009,,0.06,0.03,0.000,,0.005
2022.02.16,07,0.07,0.016,1.4,0.09,0.05,0.001,0.01,0.001
2022.02.16,13,,0.022,,0.14,0.08,0.001,,0.011
2022.02.16,19,0.07,0.026,1.4,0.22,0.14,0.001,0.01,0.008
2022.02.15,01,,0.011,,0.07,0.04,0.000,,0.003
2022.02.15,07,0.07,0.014,2.2,0.10,0.06,0.001,0.01,0.006
2022.02.15,13,,0.019,,0.16,0.09,0.001,,0.008
2022.02.15,19,0.07,0.025,1.9,0.20,0.12,0.001,0.02,0.010
