Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
19.05.2022,1,,0.016,,,0.002
19.05.2022,7,0.07,,1.0,0.15,0.007
19.05.2022,13,,0.027,,,0.016
19.05.2022,19,0.07,,2.1,0.22,0.039
20.05.2022,1,,0.016,,,0.002
20.05.2022,7,0.07,,1.4,0.09,0.006
20.05.2022,13,,0.030,,,0.010
20.05.2022,19,0.07,,1.9,0.20,0.009
21.05.2022,1,,0.016,,,0.003
21.05.2022,7,0.07,,1.6,0.08,0.005
21.05.2022,13,,0.025,,,0.012
21.05.2022,19,0.07,,1.6,0.14,0.010
23.05.2022,1,,0.016,,,0.002
23.05.2022,7,0.07,,1.4,0.11,0.004
