Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.07.27,01,,0.007,,0.11,0.000,,0.006
2021.07.27,07,0.18,,2.9,,0.001,0.058,0.010
2021.07.27,13,,,,,,,
2021.07.27,19,,,,,,,
2021.07.26,01,,0.007,,0.10,0.000,,0.007
2021.07.26,07,0.18,,1.6,,0.001,0.063,0.009
2021.07.26,13,,0.022,,0.24,0.002,,0.018
2021.07.26,19,0.18,,3.6,,0.002,0.128,0.016
2021.07.24,01,,0.007,,0.11,0.000,,0.006
2021.07.24,07,0.18,,1.4,,0.001,0.056,0.010
2021.07.24,13,,0.020,,0.27,0.002,,0.018
2021.07.24,19,0.19,,1.8,,0.002,0.119,0.017
2021.07.23,01,,0.007,,0.09,0.000,,0.005
2021.07.23,07,0.18,,1.9,,0.001,0.059,0.007
2021.07.23,13,,0.022,,0.26,0.001,,0.014
2021.07.23,19,0.18,,3.5,,0.001,0.136,0.016
2021.07.22,01,,0.005,,0.08,0.000,,0.003
2021.07.22,07,0.18,,1.9,,0.001,0.054,0.005
2021.07.22,13,,0.022,,0.20,0.001,,0.015
2021.07.22,19,0.18,,3.1,,0.001,0.122,0.011
2021.07.21,01,,0.007,,0.07,0.000,,0.004
2021.07.21,07,0.18,,1.8,,0.001,0.044,0.006
2021.07.21,13,,0.020,,0.16,0.001,,0.013
2021.07.21,19,0.19,,2.4,,0.001,0.117,0.000
