Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
07.02.2022,1,,0.014,,,0.002
07.02.2022,7,0.07,,0.4,0.06,0.006
07.02.2022,13,,0.017,,,0.011
07.02.2022,19,0.07,,0.5,0.18,0.009
08.02.2022,1,,0.012,,,0.002
08.02.2022,7,0.07,,0.6,0.07,0.004
08.02.2022,13,,0.020,,,0.009
08.02.2022,19,0.07,,0.8,0.20,0.007
09.02.2022,1,,0.011,,,0.001
09.02.2022,7,0.07,,0.7,0.05,0.005
09.02.2022,13,,0.016,,,0.009
09.02.2022,19,0.07,,1.1,0.19,0.006
10.02.2022,1,,0.011,,,0.002
10.02.2022,7,0.07,,0.7,0.062,0.004
