Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
21.04.2022,1,,0.017,,,0.001
21.04.2022,7,0.07,,1.3,0.07,0.002
21.04.2022,13,,0.030,,,0.003
21.04.2022,19,0.07,,1.0,0.12,0.005
22.04.2022,1,,0.016,,,0.002
22.04.2022,7,0.07,,1.2,0.10,0.003
22.04.2022,13,,0.033,,,0.006
22.04.2022,19,0.11,,1.2,0.20,0.007
23.04.2022,1,,0.019,,,0.000
23.04.2022,7,0.10,,1.0,0.06,0.002
23.04.2022,13,,0.031,,,0.004
23.04.2022,19,0.10,,1.2,0.16,0.006
25.04.2022,1,,0.016,,,0.002
25.04.2022,7,0.11,,1.0,0.07,0.000
