Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.02.07,01,,0.011,,0.05,0.000,,0.004
2022.02.07,07,0.17,,0.9,,0.001,0.038,0.005
2022.02.07,13,,,,,,,
2022.02.07,19,,,,,,,
2022.02.05,01,,0.012,,0.07,0.000,,0.003
2022.02.05,07,0.17,,0.8,,0.001,0.026,0.006
2022.02.05,13,,0.023,,0.22,0.001,,0.012
2022.02.05,19,0.18,,1.1,,0.001,0.095,0.009
2022.02.04,01,,0.016,,0.06,0.000,,0.004
2022.02.04,07,0.17,,0.9,,0.001,0.030,0.005
2022.02.04,13,,0.025,,0.18,0.001,,0.010
2022.02.04,19,0.17,,2.0,,0.001,0.081,0.007
2022.02.03,01,,0.015,,0.07,0.000,,0.005
2022.02.03,07,0.17,,1.6,,0.001,0.036,0.007
2022.02.03,13,,0.028,,0.20,0.001,,0.011
2022.02.03,19,0.17,,1.7,,0.001,0.087,0.008
2022.02.02,01,,0.014,,0.05,0.000,,0.004
2022.02.02,07,0.17,,1.13,,0.001,0.025,0.006
2022.02.02,13,,0.028,,0.23,0.000,,0.004
2022.02.02,19,0.17,,1.1,,0.001,0.025,0.006
2022.02.01,01,,0.014,,0.06,0.000,,0.003
2022.02.01,07,0.17,,0.9,,0.001,0.029,0.006
2022.02.01,13,,0.028,,0.21,0.001,,0.013
2022.02.01,19,0.17,,1.7,,0.001,0.088,0.009
