Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
29.04.2022,1,,0.011,,0.01,0.001
29.04.2022,7,0.07,0.017,1.1,0.01,0.002
29.04.2022,13,,0.021,,0.03,0.003
29.04.2022,19,0.07,0.019,1.3,0.04,0.002
30.04.2022,1,,0.011,,0.01,0.000
30.04.2022,7,0.07,0.019,1.1,0.02,0.002
30.04.2022,13,,0.022,,0.02,0.004
30.04.2022,19,0.07,0.018,1.4,0.03,0.003
02.05.2022,1,,0.009,,0.01,0.001
02.05.2022,7,0.07,0.016,0.9,0.02,0.002
02.05.2022,13,,0.026,,0.03,0.005
02.05.2022,19,0.07,0.023,1.1,0.04,0.002
03.05.2022,1,,0.013,,0.02,0.000
03.05.2022,7,0.07,0.019,0.8,0.03,0.001
03.05.2022,13,,0.015,,0.04,0.004
03.05.2022,19,0.07,0.021,1.0,0.04,0.002
04.05.2022,1,,0.010,,0.01,0.001
04.05.2022,7,0.07,0.015,0.8,0.02,0.002
