Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
26.10.2020,1,,0.008,,0.02,0.002
26.10.2020,7,0.07,0.016,0.2,0.02,0.003
26.10.2020,13,,0.019,,0.03,0.005
26.10.2020,19,0.07,0.028,0.5,0.03,0.004
27.10.2020,1,,0.006,,0.01,0.001
27.10.2020,7,0.07,0.013,0.2,0.02,0.002
27.10.2020,13,,0.022,,0.03,0.006
27.10.2020,19,0.07,0.025,0.4,0.03,0.003
28.10.2020,1,,0.009,,0.01,0.002
28.10.2020,7,0.07,0.014,0.2,0.01,0.004
28.10.2020,13,,0.025,,0.03,0.005
28.10.2020,19,0.07,0.036,0.5,0.04,0.002
29.10.2020,1,,0.016,,0.01,0.000
29.10.2020,7,0.07,0.022,0.2,0.02,0.002
29.10.2020,13,,0.014,,0.01,0.004
29.10.2020,19,0.07,0.009,0.4,0.02,0.002
30.10.2020,1,,0.006,,0.00,0.001
30.10.2020,7,0.07,0.009,0.2,0.01,0.002
