Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.04.25,01,,0.022,,0.09,0.000,,0.000
2022.04.25,07,0.11,,1.4,,0.001,0.041,0.002
2022.04.25,13,,,,,,,
2022.04.25,19,,,,,,,
2022.04.23,01,,0.025,,0.08,0.000,,0.002
2022.04.23,07,0.14,,0.9,,0.001,0.029,0.000
2022.04.23,13,,0.043,,0.22,0.001,,0.004
2022.04.23,19,0.18,,2.0,,0.001,0.070,0.003
2022.04.22,01,,0.023,,0.07,0.000,,0.002
2022.04.22,07,0.07,,1.6,,0.000,0.05,0.003
2022.04.22,13,,0.039,,0.23,0.001,,0.005
2022.04.22,19,0.14,,1.2,,0.001,0.06,0.006
2022.04.21,01,,0.022,,0.07,0.000,,0.001
2022.04.21,07,0.07,,1.2,,0.001,0.063,0.002
2022.04.21,13,,0.041,,0.18,0.001,,0.004
2022.04.21,19,0.11,,1.6,,0.001,0.092,0.006
2022.04.20,01,,0.022,,0.08,0.000,,0.000
2022.04.20,07,0.10,,2.0,,0.001,0.038,0.002
2022.04.20,13,,0.038,,0.22,0.001,,0.005
2022.04.20,19,0.07,,1.6,,0.001,0.101,0.004
2022.04.19,01,,0.022,,0.08,0.000,,0.002
2022.04.19,07,0.07,,3.5,,0.001,0.045,0.004
2022.04.19,13,,0.036,,0.18,0.001,,0.006
2022.04.19,19,0.11,,2.4,,0.001,0.087,0.003
