Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.07.20,01,,0.001,,0.01,0.00,0.000,,0.000
2021.07.20,07,0.07,0.002,2.4,0.01,0.01,0.000,0.01,0.001
2021.07.20,13,,,,,,,,
2021.07.20,19,,,,,,,,
2021.07.19,01,,0.005,,0.10,0.06,0.000,,0.005
2021.07.19,07,0.07,0.017,2.3,0.12,0.07,0.001,0.01,0.008
2021.07.19,13,,0.020,,0.14,0.09,0.001,,0.017
2021.07.19,19,0.07,0.019,3.5,0.20,0.13,0.001,0.01,0.015
2021.07.17,01,,0.007,,0.10,0.06,0.000,,0.004
2021.07.17,07,0.11,0.018,2.1,0.11,0.07,0.001,0.01,0.007
2021.07.17,13,,0.020,,0.16,0.10,0.002,,0.015
2021.07.17,19,0.11,0.020,3.3,0.18,0.12,0.001,0.01,0.012
2021.07.16,01,,0.005,,0.10,0.06,0.000,,0.005
2021.07.16,07,0.07,0.015,2.7,0.13,0.08,0.001,0.01,0.008
2021.07.16,13,,0.020,,0.19,0.11,0.002,,0.016
2021.07.16,19,0.08,0.017,4.5,0.25,0.15,0.002,0.01,0.014
2021.07.15,01,,0.008,,0.11,0.07,0.000,,0.004
2021.07.15,07,0.15,0.013,3.1,0.12,0.07,0.001,0.01,0.007
2021.07.15,13,,0.015,,0.20,0.12,0.002,,0.015
2021.07.15,19,0.15,0.017,4.4,0.27,0.17,0.001,0.01,0.013
2021.07.14,01,,0.005,,0.09,0.05,0.000,,0.003
2021.07.14,07,0.11,0.012,3.1,0.11,0.07,0.001,0.01,0.006
2021.07.14,13,,0.022,,0.18,0.11,0.002,,0.014
2021.07.14,19,0.08,0.019,3.4,0.26,0.17,0.001,0.01,0.012
