Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
03.02.2022,1,,0.011,,,0.001
03.02.2022,7,0.07,,0.9,0.06,0.003
03.02.2022,13,,0.019,,,0.006
03.02.2022,19,0.07,,1.2,0.16,0.005
04.02.2022,1,,0.014,,,0.002
04.02.2022,7,0.07,,1.0,0.08,0.004
04.02.2022,13,,0.025,,,0.009
04.02.2022,19,0.07,,1.5,0.18,0.005
05.02.2022,1,,0.011,,,0.002
05.02.2022,7,0.07,,0.5,0.07,0.005
05.02.2022,13,,0.022,,,0.010
05.02.2022,19,0.07,,0.7,0.17,0.008
07.02.2022,1,,0.014,,,0.002
07.02.2022,7,0.07,,0.4,0.06,0.006
