Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
07.07.2022,1,,0.007,,,0.001
07.07.2022,7,0.07,,1.1,0.04,0.003
07.07.2022,13,,0.016,,,0.011
07.07.2022,19,0.07,,2.1,0.09,0.007
08.07.2022,1,,0.005,,,0.002
08.07.2022,7,0.07,,1.1,0.06,0.004
08.07.2022,13,,0.016,,,0.008
08.07.2022,19,0.07,,1.4,0.11,0.006
09.07.2022,1,,0.005,,,0.003
09.07.2022,7,0.07,,1.5,0.03,0.006
09.07.2022,13,,0.015,,,0.011
09.07.2022,19,0.07,,1.8,0.07,0.007
11.07.2022,1,,0.007,,,0.002
11.07.2022,7,0.07,,1.3,0.04,0.005
