Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
13.09.2021,1,,0.002,,0.00,0.002
13.09.2021,7,0.07,0.007,0.3,0.01,0.003
13.09.2021,13,,0.012,,0.01,0.009
13.09.2021,19,0.07,0.008,0.1,0.02,0.006
14.09.2021,1,,0.002,,0.01,0.001
14.09.2021,7,0.07,0.007,0.1,0.01,0.002
14.09.2021,13,,0.012,,0.02,0.010
14.09.2021,19,0.07,0.008,0.3,0.03,0.007
15.09.2021,1,,0.002,,0.01,0.000
15.09.2021,7,0.07,0.006,0.1,0.02,0.002
15.09.2021,13,,0.011,,0.02,0.008
15.09.2021,19,0.07,0.010,0.7,0.03,0.006
16.09.2021,1,,0.002,,0.01,0.001
16.09.2021,7,0.07,0.008,0.5,0.01,0.003
16.09.2021,13,,0.010,,0.02,0.007
16.09.2021,19,0.07,0.005,0.7,0.04,0.002
17.09.2021,1,,0.000,,0.00,0.000
17.09.2021,7,0.07,0.002,0.2,0.01,0.002
17.09.2021,13,,"0,008",,"0,02","0,005"
17.09.2021,19,"0,07","0,007","0,4","0,02","0,004"
18.09.2021,1,,"0,002",,"0,00","0,001"
18.09.2021,7,"0,07","0,010","0,2","0,01","0,003"
18.09.2021,13,,"0,013",,"0,01","0,005"
18.09.2021,19,"0,07","0,008","0,3","0,02","0,007"
20.09.2021,1,,0.002,,0.00,0.000
20.09.2021,7,0.07,0.006,0.2,0.01,0.002
20.09.2021,13,,0.011,,0.02,0.003
20.09.2021,19,0.07,0.008,0.3,0.02,0.005
21.09.2021,1,,0.000,,0.00,0.001
21.09.2021,7,0.07,0.002,0.2,0.01,0.002
21.09.2021,13,,0.011,,0.02,0.004
21.09.2021,19,0.07,0.006,0.3,0.03,0.006
22.09.2021,1,,0.000,,0.01,0.002
22.07.2021,7,0.07,0.003,0.2,0.01,0.000
