Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
23.05.2022,1,,0.016,,,0.002
23.05.2022,7,0.07,,1.4,0.11,0.004
23.05.2022,13,,0.028,,,0.011
23.05.2022,19,0.07,,1.3,0.18,0.008
24.05.2022,1,,0.014,,,0.002
24.05.2022,7,0.07,,1.1,0.15,0.006
24.05.2022,13,,0.026,,,0.012
24.05.2022,19,0.07,,1.2,0.02,0.010
25.05.2022,1,,0.016,,,0.003
25.05.2022,7,0.07,,1.2,0.12,0.007
25.05.2022,13,,0.026,,,0.012
25.05.2022,19,0.07,,1.4,0.20,0.009
26.05.2022,1,,0.016,,,0.001
26.05.2022,7,0.07,,1.1,0.10,0.003
