Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.12.20,01,,0.014,,0.07,0.001,,0.002
2021.12.20,07,0.14,,1.2,,0.001,0.034,0.005
2021.12.20,13,,,,,,,
2021.12.20,19,,,,,,,
2021.12.18,01,,0.014,,0.06,0.000,,0.003
2021.12.18,07,0.14,,0.8,,0.001,0.043,0.005
2021.12.18,13,,0.027,,0.13,0.001,,0.011
2021.12.18,19,0.17,,0.9,,0.001,0.092,0.010
2021.12.17,01,,0.014,,0.07,0.001,,0.002
2021.12.17,07,0.17,,0.9,,0.001,0.040,0.006
2021.12.17,13,,0.029,,0.17,0.001,,0.009
2021.12.17,19,0.14,,1.7,,0.001,0.097,0.008
2021.12.16,01,,0.014,,0.07,0.000,,0.003
2021.12.16,07,0.17,,1.4,,0.001,0.045,0.005
2021.12.16,13,,0.028,,0.20,0.002,,0.010
2021.12.16,19,0.17,,1.2,,0.001,0.104,0.007
2021.12.15,01,,0.012,,0.06,0.000,,0.002
2021.12.15,07,0.17,,1.2,,0.001,0.004,0.005
2021.12.15,13,,0.029,,0.16,0.001,,0.011
2021.12.15,19,0.17,,1.9,,0.001,0.099,0.009
2021.12.14,01,,0.014,,0.09,0.000,,0.003
2021.12.14,07,0.17,,1.0,,0.001,0.024,0.005
2021.12.14,13,,0.027,,0.17,0.001,,0.009
2021.12.14,19,0.14,,1.7,,0.001,0.092,0.008
