Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
26.05.2022,1,,0.015,,0.00,0.000
26.05.2022,7,0.07,0.016,0.2,0.01,0.001
26.05.2022,13,,0.023,,0.02,0.005
26.05.2022,19,0.07,0.018,0.5,0.03,0.004
27.05.2022,1,,0.013,,0.01,0.001
27.05.2022,7,0.07,0.016,0.3,0.01,0.003
27.05.2022,13,,0.023,,0.01,0.007
27.05.2022,19,0.07,0.018,0.5,0.02,0.003
28.05.202,1,,0.013,,0.01,0.002
28.05.2022,7,0.07,0.016,0.3,0.01,0.003
28.05.2022,13,,0.020,,0.00,0.005
28.05.2022,19,0.07,0.020,0.4,0.02,0.004
30.05.2022,1,,0.011,,0.00,0.000
30.05.2022,7,0.07,0.015,0.3,0.01,0.001
30.05.2022,13,,0.023,,0.01,0.003
30.05.2022,19,0.07,0.019,0.5,0.01,0.002
31.05.2022,1,,0.013,,0.00,0.000
31.05.2022,7,0.07,0.018,0.3,0.01,0.002
