Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.06.14,01,,0.007,,0.07,0.04,0.000,,0.003
2021.06.14,07,0.07,0.016,1.4,0.10,0.06,0.001,0.00,0.005
2021.06.14,13,,,,,,,,
2021.06.14,19,,,,,,,,
2021.06.12,01,,0.008,,0.10,0.06,0.000,,0.004
2021.06.12,07,0.07,0.015,1.5,0.15,0.09,0.001,0.00,0.007
2021.06.12,13,,0.018,,0.22,0.14,0.001,,0.013
2021.06.12,19,0.07,0.018,1.2,0.29,0.19,0.001,0.01,0.010
2021.06.11,01,,0.008,,0.07,0.04,0.000,,0.003
2021.06.11,07,0.11,0.020,1.0,0.09,0.06,0.001,0.00,0.006
2021.06.11,13,,0.023,,0.13,0.08,0.001,,0.012
2021.06.11,19,0.10,0.020,1.6,0.14,0.09,0.001,0.01,0.008
2021.06.10,01,,0.010,,0.06,0.04,0.000,,0.003
2021.06.10,07,0.07,0.018,1.5,0.07,0.04,0.001,0.00,0.005
2021.06.10,13,,0.023,,0.13,0.08,0.002,,0.012
2021.06.10,19,0.07,0.022,1.4,0.18,0.11,0.001,0.01,0.009
2021.06.09,01,,0.007,,0.07,0.04,0.000,,0.004
2021.06.09,07,0.11,0.016,1.6,0.09,0.05,0.001,0.00,0.006
2021.06.09,13,,0.023,,0.11,0.07,0.002,,0.013
2021.06.09,19,0.11,0.020,2.7,0.15,0.10,0.001,0.01,0.009
2021.06.08,01,,0.010,,0.06,0.04,0.000,,0.003
2021.06.08,07,0.07,0.020,1.4,0.09,0.05,0.001,0.00,0.006
2021.06.08,13,,0.022,,0.16,0.10,0.001,,0.012
2021.06.08,19,0.07,0.023,3.0,0.21,0.11,0.001,0.01,0.011
