Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
09.05.2022,1,,0.015,,,0.002
09.05.2022,7,0.07,,0.9,0.09,0.003
09.05.2022,13,,0.034,,,0.007
09.05.2022,19,0.07,,0.5,0.16,0.006
10.05.2022,1,,0.017,,,0.001
10.05.2022,7,0.07,,0.3,0.08,0.002
10.05.2022,13,,0.032,,,0.009
10.05.2022,19,0.07,,0.7,0.19,0.004
11.05.2022,1,,0.014,,,0.002
11.05.2022,7,0.07,,0.6,0.09,0.003
11.05.2022,13,,0.029,,,0.008
11.05.2022,19,0.07,,0.8,0.21,0.007
12.05.2022,1,,0.013,,,0.002
12.05.2022,7,0.07,,0.7,0.08,0.004
