Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
02.11.2020,1,,0.005,,0.01,0.001
02.11.2020,7,0.07,0.008,0.2,0.01,0.002
02.11.2020,13,,0.013,,0.02,0.004
02.11.2020,19,0.07,0.009,0.4,0.02,0.003
02.11.2020,1,,0.003,,0.01,0.000
03.11.2020,7,0.07,0.009,0.2,0.01,0.001
03.11.2020,13,,0.014,,0.02,0.003
03.11.2020,19,0.07,0.017,0.5,0.03,0.002
04.11.2020,1,,0.008,,0.01,0.001
04.11.2020,7,0.07,0.012,0.3,0.01,0.002
04.11.2020,13,,0.018,,0.01,0.005
04.11.2020,19,0.07,0.015,0.5,0.02,0.004
05.11.2020,1,,0.006,,0.00,0.000
05.11.2020,7,0.07,0.011,0.3,0.01,0.002
05.11.2020,13,,0.016,,0.02,0.004
05.11.2020,19,0.07,0.023,0.5,0.02,0.003
06.11.2020,1,,0.009,,0.00,0.001
06.11.2020,7,0.07,0.012,0.4,0.01,0.002
