Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
06.06.2022,1,,0.015,,,0.002
06.06.2022,7,0.07,,1.4,0.05,0.005
06.06.2022,13,,0.025,,,0.013
06.06.2022,19,0.07,,2.5,0.12,0.009
07.06.2022,1,,0.011,,,0.003
07.06.2022,7,0.07,,1.2,0.08,0.006
07.06.2022,13,,0.022,,,0.009
07.06.2022,19,0.07,,1.8,0.14,0.012
08.06.2022,1,,0.013,,,0.003
08.06.2022,7,0.07,,1.2,0.07,0.007
08.06.2022,13,,0.020,,,0.011
08.06.2022,19,0.08,,1.7,0.10,0.016
09.06.2022,1,,0.012,,,0.001
09.06.2022,7,0.07,,1.4,0.06,0.003
