Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2020.10.30,01,,0.043,,0.06,0.03,0.001,,0.003
2020.10.30,07,0.07,0.06,2.1,0.08,0.05,0.001,0.01,0.006
2020.10.30,13,,,,,,,,
2020.10.30,19,,,,,,,,
2020.10.29,01,,0.092,,0.09,0.06,0.001,,0.002
2020.10.29,07,0.10,0.111,1.8,0.13,0.08,0.002,0.01,0.006
2020.10.29,13,,0.047,,0.15,0.09,0.003,,0.011
2020.10.29,19,0.14,0.079,2.7,0.23,0.14,0.003,0.01,0.010
2020.10.28,01,,0.053,,0.07,0.04,0.001,,0.003
2020.10.28,07,0.17,0.066,1.0,0.12,0.07,0.001,0.01,0.005
2020.10.28,13,,0.172,,0.17,0.11,0.003,,0.010
2020.10.28,19,0.07,0.236,2.6,0.26,0.16,0.002,0.02,0.009
2020.10.27,01,,0.057,,0.08,0.05,0.001,,0.002
2020.10.27,07,0.07,0.074,1.4,0.14,0.08,0.002,0.01,0.006
2020.10.27,13,,0.132,,0.18,0.11,0.003,,0.006
2020.10.27,19,0.11,0.151,2.4,0.22,0.14,0.003,0.01,0.005
2020.10.26,01,,0.047,,0.07,0.04,0.001,,0.003
2020.10.26,07,0.10,0.056,1.0,0.09,0.06,0.002,0.01,0.005
2020.10.26,13,,0.106,,0.17,0.11,0.003,,0.010
2020.10.26,19,0.18,0.144,2.6,0.23,0.14,0.002,0.01,0.006
