Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
11.03.2021,1,,0.080,,,0.002
11.03.2021,7,0.07,,0.7,0.10,0.004
11.03.2021,13,,0.203,,,0.008
11.03.2021,19,0.07,,1.7,0.20,0.005
12.03.2021,1,,0.073,,,0.001
12.03.2021,7,0.07,,1.1,0.09,0.003
12.03.2021,13,,0.186,,,0.006
12.03.2021,19,0.07,,1.5,0.19,0.002
13.03.2021,1,,0.067,,,0.002
13.03.2021,7,0.07,,0.6,0.08,0.004
13.03.2021,13,,0.173,,,0.007
13.03.2021,19,0.07,,0.7,0.17,0.005
15.03.2021,1,,0.064,,,0.001
15.03.2021,7,0.07,,0.6,0.10,0.003
