Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.06.29,01,,,,,,,
2022.06.29,07,,,1.8,,,,
2022.06.29,13,,,,,,,
2022.06.29,19,,,,,,,
2022.06.28,01,,,,,,,
2022.06.28,07,,,2.0,,,,
2022.06.28,13,,,,,,,
2022.06.28,19,,,2.3,,,,
2022.06.27,01,,,,,,,
2022.06.27,07,,,3.4,,,,
2022.06.27,13,,,,,,,
2022.06.27,19,,,2.1,,,,
2022.06.25,01,,,,,,,
2022.06.25,07,,,1.7,,,,
2022.06.25,13,,,,,,,
2022.06.25,19,,,2.1,,,,
2022.06.24,01,,,,,,,
2022.06.24,07,,,1.8,,,,
2022.06.24,13,,,,,,,
2022.06.24,19,,,2.2,,,,
2022.06.23,01,,,,,,,
2022.06.23,07,,,1.4,,,,
2022.06.23,13,,,,,,,
2022.06.23,19,,,2.0,,,,
