Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.11.02,01,,0.014,,0.09,0.001,,0.002
2021.11.02,07,0.17,,1.7,,0.001,0.045,0.005
2021.11.02,13,,,,,,,
2021.11.02,19,,,,,,,
2021.11.01,01,,0.011,,0.10,0.000,,0.004
2021.11.01,07,0.17,,1.6,,0.001,0.052,0.006
2021.11.01,13,,0.035,,0.31,0.002,,0.017
2021.11.01,19,0.17,,2.1,,0.002,0.016,0.013
2021.10.30,01,,0.016,,0.10,0.001,,0.003
2021.10.30,07,0.17,,1.1,,0.001,0.043,0.005
2021.10.30,13,,0.020,,0.19,0.001,,0.010
2021.10.30,19,0.17,,1.4,,0.001,0.108,0.008
2021.10.29,01,,0.013,,0.10,0.001,,0.004
2021.10.29,07,0.17,,1.2,,0.001,0.052,0.006
2021.10.29,13,,0.024,,0.22,0.002,,0.012
2021.10.29,19,0.18,,1.5,,0.001,0.116,0.010
2021.10.28,01,,0.016,,0.13,0.000,,0.002
2021.10.28,07,0.17,,1.5,,0.001,0.047,0.005
2021.10.28,13,,0.020,,0.22,0.001,,0.013
2021.10.28,19,0.18,,1.8,,0.001,0.120,0.009
2021.10.27,01,,0.022,,0.11,0.000,,0.003
2021.10.27,07,0.17,,1.2,,0.001,0.039,0.005
2021.10.27,13,,0.027,,0.24,0.001,,0.011
2021.10.27,19,0.17,,2.0,,0.001,0.116,0.009
