Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.04.28,01,,0.021,,0.06,0.000,,0.001
2022.04.28,07,0.14,,1.2,,0.001,0.056,0.002
2022.04.28,13,,,,,,,
2022.04.28,19,,,,,,,
2022.04.27,01,,0.022,,0.09,0.000,,0.002
2022.04.27,07,0.11,,1.6,,0.001,0.046,0.003
2022.04.27,13,,0.037,,0.25,0.001,,0.005
2022.04.27,19,0.18,,2.7,,0.001,0.127,0.007
2022.04.26,01,,0.023,,0.08,0.000,,0.002
2022.04.26,07,0.14,,1.3,,0.001,0.051,0.000
2022.04.26,13,,0.039,,0.19,0.001,,0.003
2022.04.26,19,0.14,,2.8,,0.001,0.108,0.005
2022.04.25,01,,0.022,,0.09,0.000,,0.000
2022.04.25,07,0.11,,1.4,,0.001,0.041,0.002
2022.04.25,13,,0.040,,0.19,0.002,,0.003
2022.04.25,19,0.18,,1.6,,0.001,0.084,0.005
2022.04.23,01,,0.025,,0.08,0.000,,0.002
2022.04.23,07,0.14,,0.9,,0.001,0.029,0.000
2022.04.23,13,,0.043,,0.22,0.001,,0.004
2022.04.23,19,0.18,,2.0,,0.001,0.070,0.003
2022.04.22,01,,0.023,,0.07,0.000,,0.002
2022.04.22,07,0.07,,1.6,,0.000,0.05,0.003
2022.04.22,13,,0.039,,0.23,0.001,,0.005
2022.04.22,19,0.14,,1.2,,0.001,0.06,0.006
