Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2020.12.16,01,,0.063,,0.07,0.001,,0.003
2020.12.16,07,0.17,,1.5,,0.001,0.049,0.005
2020.12.16,13,,,,,,,
2020.12.16,19,,,,,,,
2020.12.15,01,,0.056,,0.07,0.001,,0.002
2020.12.15,07,0.17,,1.3,,0.001,0.037,0.006
2020.12.15,13,,0.199,,0.15,0.003,,0.009
2020.12.15,19,0.17,,2.6,,0.002,0.065,0.008
2020.12.14,01,,0.050,,0.10,0.000,,0.003
2020.12.14,07,0.17,,1.2,,0.001,0.053,0.005
2020.12.14,13,,0.178,,0.16,0.002,,0.010
2020.12.14,19,0.17,,2.45,,0.002,0.094,0.008
2020.12.12,01,,0.059,,0.10,0.000,,0.002
2020.12.12,07,0.17,,0.8,,0.001,0.040,0.005
2020.12.12,13,,0.140,,0.20,0.002,,0.007
2020.12.12,19,0.17,,1.6,,0.001,0.075,0.005
2020.12.11,01,,0.054,,0.07,0.000,,0.003
2020.12.11,07,0.17,,0.9,,0.001,0.053,0.005
2020.12.11,13,,0.179,,0.17,0.002,,0.009
2020.12.11,19,0.17,,0.8,,0.001,0.103,0.007
2020.12.10,01,,0.060,,0.11,0.000,,0.004
2020.12.10,07,0.16,,1.6,,0.001,0.060,0.006
2020.12.10,13,,0.167,,0.23,0.002,,0.009
2020.12.10,19,0.17,,1.1,,0.001,0.086,0.008
