Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.04.29,01,,0.020,,0.09,0.05,0.000,,0.001
2022.04.29,07,0.10,0.030,2.4,0.12,0.07,0.001,0.01,0.002
2022.04.29,13,,,,,,,,
2022.04.29,19,,,,,,,,
2022.04.28,01,,0.019,,0.08,0.04,0.000,,0.002
2022.04.28,07,0.07,0.030,1.8,0.10,0.06,0.001,0.01,0.003
2022.04.28,13,,0.037,,0.19,0.11,0.001,,0.004
2022.04.28,19,0.11,0.035,2.6,0.23,0.14,0.001,0.01,0.006
2022.04.27,01,,0.022,,0.09,0.05,0.000,,0.001
2022.04.27,07,0.11,0.030,1.7,0.11,0.06,0.001,0.01,0.002
2022.04.27,13,,0.037,,0.18,0.11,0.001,,0.005
2022.04.27,19,0.11,0.035,3.3,0.21,0.13,0.001,0.01,0.006
2022.04.26,01,,0.021,,0.08,0.05,0.000,,0.0000
2022.04.26,07,0.07,0.029,1.2,0.12,0.07,0.001,0.00,0.002
2022.04.26,13,,0.039,,0.19,0.11,0.001,,0.003
2022.04.26,19,0.14,0.036,2.6,0.23,0.14,0.001,0.01,0.005
2022.04.25,01,,0.021,,0.07,0.04,0.000,,0.001
2022.04.25,07,0.07,0.032,1.2,0.10,0.06,0.001,0.01,0.002
2022.04.25,13,,0.035,,0.16,0.09,0.001,,0.009
2022.04.25,19,0.11,0.033,1.5,0.20,0.12,0.001,0.01,0.005
2022.04.23,01,,0.022,,0.07,0.04,0.000,,0.002
2022.04.23,07,0.12,0.027,1.4,0.10,0.05,0.001,0.00,0.003
2022.04.23,13,,0.038,,0.14,0.08,0.001,,0.005
2022.04.23,19,0.14,0.034,1.3,0.23,0.14,0.001,0.01,0.003
