Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2020.11.06,01,,0.063,,0.12,0.000,,0.004
2020.11.06,07,0.17,,2.0,,0.001,0.037,0.006
2020.11.06,13,,,,,,,
2020.11.06,19,,,,,,,
2020.11.05,01,,0.059,,0.11,0.001,,0.003
2020.11.05,07,0.17,,1.5,,0.001,0.026,0.005
2020.11.05,13,,0.147,,0.24,0.003,,0.009
2020.11.05,19,0.17,,2.5,,0.002,0.090,0.008
2020.11.04,01,,0.048,,0.07,0.001,,0.002
2020.11.04,07,0.17,,1.1,,0.001,0.032,0.006
2020.11.04,13,,0.111,,0.19,0.003,,0.012
2020.11.04,19,0.17,,2.6,,0.002,0.075,0.008
2020.11.03,01,,0.041,,0.10,0.000,,0.003
2020.11.03,07,0.17,,1.6,,0.001,0.019,0.006
2020.11.03,13,,0.125,,0.13,0.003,,0.008
2020.11.03,19,0.17,,1.7,,0.002,0.083,0.005
2020.11.02,01,,0.049,,0.08,0.000,,0.002
2020.11.02,07,0.17,,1.2,,0.001,0.034,0.004
2020.11.02,13,,0.099,,0.15,0.002,,0.009
2020.11.02,19,0.17,,2.5,,0.002,0.072,0.005
