Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
06.12.2021,1,,0.019,,,0.002
06.12.2021,7,0.07,,0.4,0.08,0.003
06.12.2021,13,,0.026,,,0.008
06.12.2021,19,0.07,,1.0,0.13,0.006
07.12.2021,1,,0.014,,,0.001
07.12.2021,7,0.07,,0.5,0.07,0.004
07.12.2021,13,,0.021,,,0.008
07.12.2021,19,0.07,,1.0,0.10,0.005
08.12.2021,1,,0.011,,,0.002
08.12.2021,7,0.07,,0.7,0.07,0.003
08.12.2021,13,,0.025,,,0.007
08.12.2021,19,0.07,,1.2,0.15,0.004
09.12.2021,1,,0.012,,,0.002
09.12.2021,7,0.07,,0.6,0.06,0.005
