Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
25.10.2021,1,,0.034,,,0.002
25.10.2021,7,0.07,,1.0,0.13,0.005
25.10.2021,13,,0.038,,,0.008
25.10.2021,19,0.07,,1.6,0.22,0.004
26.10.2021,1,,0.021,,,0.001
26.10.2021,7,0.07,,1.0,0.11,0.004
26.10.2021,13,,0.026,,,0.009
26.10.2021,19,0.07,,1.3,0.22,0.005
27.10.2021,1,,0.012,,,0.002
27.10.2021,7,0.07,,1.0,0.11,0.005
27.10.2021,13,,0.016,,,0.006
27.10.2021,19,0.07,,1.1,0.22,0.008
28.10.2021,1,,0.019,,,0.000
28.10.2021,7,0.07,,1.0,0.10,0.001
