Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2020.11.20,01,,0.042,,0.07,0.04,0.000,,0.002
2020.11.20,07,0.14,0.059,1.3,0.09,0.05,0.001,0.01,0.004
2020.11.20,13,,,,,,,,
2020.11.20,19,,,,,,,,
2020.11.19,01,,0.054,,0.09,0.05,0.000,,0.002
2020.11.19,07,0.13,0.072,1.4,0.10,0.06,0.001,0.01,0.005
2020.11.19,13,,0.105,,0.18,0.11,0.003,,0.007
2020.11.19,19,0.09,0.157,2.0,0.23,0.14,0.002,0.01,0.005
2020.11.18,01,,0.057,,0.06,0.03,0.000,,0.001
2020.11.18,07,0.10,0.069,1.0,0.08,0.05,0.001,0.01,0.003
2020.11.18,13,,0.186,,0.17,0.10,0.002,,0.009
2020.11.18,19,0.17,0.229,1.7,0.22,0.13,0.002,0.01,0.008
2020.11.17,01,,0.054,,0.06,0.04,0.000,,0.002
2020.11.17,07,0.09,0.072,1.5,0.09,0.05,0.001,0.01,0.004
2020.11.17,13,,0.135,,0.12,0.07,0.002,,0.007
2020.11.17,19,0.17,0.184,1.4,0.14,0.09,0.002,0.01,0.005
2020.11.16,01,,0.050,,0.09,0.05,0.001,,0.002
2020.11.16,07,0.07,0.064,1.0,0.10,0.06,0.001,0.01,0.005
2020.11.16,13,,0.142,,0.15,0.09,0.003,,0.008
2020.11.16,19,0.07,0.197,1.9,0.20,0.12,0.002,0.01,0.006
2020.11.14,01,,0.044,,0.06,0.03,0.001,,0.003
2020.11.14,07,0.10,0.053,1.2,0.09,0.05,0.001,0.01,0.005
2020.11.14,13,,0.122,,0.12,0.07,0.003,,0.009
2020.11.14,19,0.17,0.126,1.9,0.19,0.11,0.003,0.01,0.007
2020.11.13,01,,0.062,,0.08,0.05,0.001,,0.002
2020.11.13,07,0.17,0.076,1.1,0.11,0.07,0.001,0.01,0.004
2020.11.13,13,,0.148,,0.18,0.11,0.003,,0.008
2020.11.13,19,0.07,0.186,2.5,0.16,0.09,0.002,0.01,0.009
