Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.02.23,01,,0.012,,0.09,0.05,0.000,,0.004
2022.02.23,07,0.10,0.019,1.3,0.10,0.06,0.001,0.0,0.005
2022.02.23,13,,,,,,,,
2022.02.23,19,,,,,,,,
2022.02.22,01,,0.011,,0.08,0.05,0.000,,0.005
2022.02.22,07,0.07,0.016,1.7,0.10,0.06,0.001,0.01,0.007
2022.02.22,13,,0.026,,0.16,0.11,0.001,,0.013
2022.02.22,19,0.07,0.027,2.0,0.22,0.14,0.001,0.02,0.010
2022.02.21,01,,0.011,,0.05,0.03,0.000,,0.002
2022.02.21,07,0.07,0.017,1.0,0.07,0.05,0.001,0.01,0.006
2022.02.21,13,,0.023,,0.15,0.09,0.001,,0.011
2022.02.21,19,0.14,0.028,2.2,0.19,0.12,0.001,0.02,0.007
