Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.06.09,01,,0.007,,0.07,0.04,0.000,,0.004
2021.06.09,07,0.11,0.016,1.6,0.09,0.05,0.001,0.00,0.006
2021.06.09,13,,,,,,,,
2021.06.09,19,,,,,,,,
2021.06.08,01,,0.010,,0.06,0.04,0.000,,0.003
2021.06.08,07,0.07,0.020,1.4,0.09,0.05,0.001,0.00,0.006
2021.06.08,13,,0.022,,0.16,0.10,0.001,,0.012
2021.06.08,19,0.07,0.023,3.0,0.21,0.11,0.001,0.01,0.011
2021.06.07,01,,0.008,,0.08,0.05,0.000,,0.002
2021.06.07,07,0.07,0.018,1.8,0.11,0.07,0.001,0.00,0.005
2021.06.07,13,,0.020,,0.18,0.11,0.001,,0.012
2021.06.07,19,0.07,0.017,2.6,0.22,0.14,0.001,0.01,0.010
2021.06.05,01,,0.010,,0.08,0.05,0.000,,0.002
2021.06.05,07,0.11,0.019,1.0,0.10,0.06,0.001,0.00,0.007
2021.06.05,13,,0.023,,0.12,0.08,0.001,,0.010
2021.06.05,19,0.11,0.015,1.2,0.19,0.12,0.001,0.01,0.008
2021.06.04,01,,0.010,,0.06,0.04,0.000,,0.003
2021.06.04,07,0.07,0.019,1.6,0.07,0.05,0.001,0.00,0.006
2021.06.04,13,,0.021,,0.12,0.07,0.001,,0.012
2021.06.04,19,0.18,0.012,2.7,0.15,0.10,0.001,0.01,0.009
2021.06.03,01,,0.010,,0.07,0.04,0.000,,0.002
2021.06.03,07,0.11,0.019,1.3,0.09,0.06,0.001,0.00,0.004
2021.06.03,13,,0.023,,0.12,0.07,0.002,,0.011
2021.06.03,19,0.07,0.021,3.0,0.15,0.10,0.001,0.01,0.008
