Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.02.16,01,,0.009,,0.06,0.03,0.000,,0.005
2022.02.16,07,0.07,0.016,1.4,0.09,0.05,0.001,0.01,0.001
2022.02.16,13,,,,,,,,
2022.02.16,19,,,,,,,,
2022.02.15,01,,0.011,,0.07,0.04,0.000,,0.003
2022.02.15,07,0.07,0.014,2.2,0.10,0.06,0.001,0.01,0.006
2022.02.15,13,,0.019,,0.16,0.09,0.001,,0.008
2022.02.15,19,0.07,0.025,1.9,0.20,0.12,0.001,0.02,0.010
2022.02.14,01,,0.006,,0.06,0.03,0.000,,0.004
2022.02.14,07,0.07,0.012,1.2,0.09,0.05,0.001,0.00,0.007
2022.02.14,13,,0.019,,0.13,0.08,0.001,,0.012
2022.02.14,19,0.07,0.025,2.4,0.19,0.12,0.001,0.01,0.009
2022.02.12,01,,0.009,,0.07,0.04,0.000,,0.003
2022.02.12,07,0.07,0.006,0.6,0.09,0.05,0.001,0.00,0.005
2022.02.12,13,,0.014,,0.16,0.09,0.001,,0.011
2022.02.12,19,0.07,0.017,0.8,0.17,0.11,0.001,0.01,0.010
2022.02.11,01,,0.011,,0.09,0.05,0.000,,0.002
2022.02.11,07,0.07,0.012,1.4,0.10,0.06,0.001,0.01,0.007
2022.02.11,13,,0.016,,0.15,0.09,0.001,,0.011
2022.02.11,19,0.10,0.020,1.5,0.21,0.12,0.001,0.01,0.009
2022.02.10,01,,0.009,,0.08,0.04,0.000,,0.005
2022.02.10,07,0.104,0.014,1.44,0.11,0.06,0.001,0.04,0.006
2022.02.10,13,,0.019,,0.15,0.09,0.001,,0.009
2022.02.10,19,0.10,0.023,2.1,0.19,0.12,0.001,0.01,0.007
